20240901	03:18:47 	 dad05844-236c-4c8a-9498-b97750411f38 	 /new-page.html 	 GET 
20240901	03:18:47 	 481f57b2-9c0b-41ea-b8bd-28b1101a45e4 	 /css/style.css 	 GET 
20240901	03:18:47 	 0cd2376d-6dfb-4a50-ac08-9f6ad2cf5dde 	 /img/img1.jpg 	 GET 
20240901	03:18:47 	 5457536d-4082-4fa2-995a-7d0947aafe06 	 /favicon.ico 	 GET 
20240903	00:34:16 	 639d6de0-e8cc-418a-a23c-fc1028ea0137 	 GET 	 undefined 	 /  
20240903	00:34:16 	 30657264-fae1-476a-8878-cdad9a33347c 	 GET 	 undefined 	 /css/style.css  
20240903	00:42:39 	 bd594360-9251-4316-aafd-c9421aa4ed6b 	 GET 	 undefined 	 /  
20240903	00:42:39 	 6d147413-509e-434d-a2c4-eb7f128902dc 	 GET 	 undefined 	 /css/style.css  
20240903	02:09:27 	 b2e85cd1-416d-4f17-876b-e1b5f9c07258 	 GET 	 null 	 /  
20240903	02:09:42 	 d9aef2b8-ba6a-47ac-a7e8-f40204b91422 	 GET 	 undefined 	 /  
20240903	02:09:42 	 1df1024b-f051-43ce-b150-045a80413f0d 	 GET 	 undefined 	 /css/style.css  
20240903	02:28:58 	 cc11abbc-47ce-4d57-9bf4-463ca48e6db6 	 GET 	 undefined 	 /  
20240903	02:30:17 	 19044e3c-c80a-4c36-a67e-76bb5aa1df40 	 GET 	 undefined 	 /  
20240903	02:46:13 	 9983e19d-1319-41ac-b8e8-789e3d958710 	 GET 	 undefined 	 /  
20240903	02:46:13 	 35dc1a3f-27c9-4137-b7fd-5f68efc25d5a 	 GET 	 undefined 	 /css/style.css  
20240903	02:46:17 	 3b4b335a-8670-49fd-b985-6a90ea07ca44 	 GET 	 undefined 	 /  
20240903	02:46:17 	 900798a9-72ae-4dbf-941f-475104fb4824 	 GET 	 undefined 	 /css/style.css  
20240903	02:46:56 	 54421d7b-a3bb-454a-97d6-e530f9474a07 	 GET 	 undefined 	 /  
20240903	02:46:56 	 3f0d4bf9-1675-4423-8e3f-9ad129fa24f5 	 GET 	 undefined 	 /css/style.css  
20240903	02:47:57 	 04d211f1-a9bb-40fd-bc84-518782435655 	 GET 	 undefined 	 /  
20240903	02:47:57 	 3a9848cf-13b4-461e-bbcf-264b556aee59 	 GET 	 undefined 	 /css/style.css  
20240903	02:49:12 	 17a908ea-7128-45a9-8552-e1bb42ebc8cd 	 GET 	 undefined 	 /  
20240903	02:49:12 	 1b6ae4b2-d8fb-45ff-8489-0a5ec8cb613b 	 GET 	 undefined 	 /css/style.css  
20240903	02:49:33 	 2fff3d94-ac18-44f3-b081-0ed9db9986a3 	 GET 	 undefined 	 /  
20240903	02:49:33 	 0f43d2b0-af58-4c57-8f1e-6688d9e70145 	 GET 	 undefined 	 /css/style.css  
20240903	02:49:34 	 493a74c4-6e29-4a5f-b7ae-cc46b7a2f538 	 GET 	 undefined 	 /favicon.ico  
20240903	03:04:18 	 deb7deef-3a61-4acb-b8ac-f4081644f620 	 GET 	 undefined 	 /  
20240903	03:04:18 	 8b37dc6a-d7bc-4e02-b5c7-60bce38b2c77 	 GET 	 undefined 	 /css/style.css  
20240903	03:04:18 	 c654ef78-0ed4-42cb-991c-dbf21671f94d 	 GET 	 undefined 	 /favicon.ico  
20240903	03:05:18 	 3d802dfa-b859-4b4b-81dc-eb5ce08e4ad6 	 GET 	 undefined 	 /  
20240903	03:05:18 	 08b3e640-cb1e-409e-90e7-f06dcd1afeef 	 GET 	 undefined 	 /css/style.css  
20240903	03:05:33 	 30ab4f1e-9b80-4579-8e3f-6f9ca9a0bf3c 	 GET 	 undefined 	 /new-page  
20240903	03:05:33 	 e224121f-4fb8-40c1-9e11-df52433db077 	 GET 	 undefined 	 /css/style.css  
